Reference,Value,Footprint,Count,Part#
C3,100n,CRF1:SMD-0603_c,1,
R5,2k2,CRF1:SMD-0603_r,1,
C2,100n,CRF1:SMD-0603_c,1,
K1,SERVO,CRF1:pinhead-1X03,1,
R4,2k2,CRF1:SMD-0603_r,1,
R3,39k,CRF1:SMD-0603_r,1,
X1,MINI-USB-SHIELD-32005-201,CRF1:USB-UX60R-MB-5ST,1,
R6,0R,CRF1:SMD-0603_r,1,
P5,IN-,CRF1:1PAD_4x5mm,1,
P4,IN+,CRF1:1PAD_4x5mm,1,
P9,MOTOR3,CRF1:1PAD_4x5mm,1,
P7,MOTOR2,CRF1:1PAD_4x5mm,1,
P6,MOTOR1,CRF1:1PAD_4x5mm,1,
R103,22R,CRF1:SMD-0603_r,1,
R104,22R,CRF1:SMD-0603_r,1,
R38,120R,CRF1:SMD-0603_r,1,
D2,RED,LEDs:LED-0603,1,
R37,120R,CRF1:SMD-0603_r,1,
D1,GREEN,LEDs:LED-0603,1,
D3,LED,LEDs:LED-0603,1,
R22,2k2,CRF1:SMD-0603_r,1,
P101,CANBUS,JST conn:b4b-ph-kl,1,
R53,SHUNT,CRF1:WSLP2726,1,
R54,SHUNT,CRF1:WSLP2726,1,
P3,PWR_COMM,pikim:b7b-ph-kl,1,
P1,HALL/Encoder,pikim:b6b-ph-kl,1,
Q1,IRFS7530,pikim:D2PAK-7-GDS,1,
Q2,IRFS7530,pikim:D2PAK-7-GDS,1,
R29,4R7,CRF1:SMD-0603_r,1,
R28,4R7,CRF1:SMD-0603_r,1,
R34,4R7,CRF1:SMD-0603_r,1,
R35,4R7,CRF1:SMD-0603_r,1,
Q4,IRFS7530,pikim:D2PAK-7-GDS,1,
Q3,IRFS7530,pikim:D2PAK-7-GDS,1,
Q5,IRFS7530,pikim:D2PAK-7-GDS,1,
Q6,IRFS7530,pikim:D2PAK-7-GDS,1,
R43,4R7,CRF1:SMD-0603_r,1,
R42,4R7,CRF1:SMD-0603_r,1,
R1,NTC 10k,CRF1:SMD-0603_r,1,
R2,10k,CRF1:SMD-0603_r,1,
C41,2.2u,CRF1:SMD-0603_c,1,GRM188R61C225KAAD or GRM188C81A225KAAD
U401,SN65HVD232,CRF1:SOIC-8-W,1,
C401,2.2u,CRF1:SMD-0603_c,1,GRM188R61C225KAAD or GRM188C81A225KAAD
R401,NI,CRF1:SMD-0603_r,1,
R402,10k,CRF1:SMD-0603_r,1,
JP4,JUMPER3,open-project:S_JUMPER_3,1,
R7,10k,CRF1:SMD-0603_r,1,
R8,10k,CRF1:SMD-0603_r,1,
R9,10k,CRF1:SMD-0603_r,1,
R10,10k,CRF1:SMD-0603_r,1,
C5,4n7,CRF1:SMD-0603_c,1,
C6,4n7,CRF1:SMD-0603_c,1,
C7,4n7,CRF1:SMD-0603_c,1,
R11,2k2,CRF1:SMD-0603_r,1,
R12,2k2,CRF1:SMD-0603_r,1,
R13,2k2,CRF1:SMD-0603_r,1,
C4,4n7,CRF1:SMD-0603_c,1,
U1,STM32F40X_LQFP64,CRF1:lqfp64_pad_mod,1,
C17,2.2u,CRF1:SMD-0603_c,1,GRM188R61C225KAAD or GRM188C81A225KAAD
C16,2.2u,CRF1:SMD-0603_c,1,GRM188R61C225KAAD or GRM188C81A225KAAD
C15,15p,CRF1:SMD-0603_c,1,
C38,15p,CRF1:SMD-0603_c,1,
C31,2.2u,CRF1:SMD-0603_c,1,GRM188R61C225KAAD or GRM188C81A225KAAD
C35,2.2u,CRF1:SMD-0603_c,1,GRM188R61C225KAAD or GRM188C81A225KAAD
C32,100n,CRF1:SMD-0603_c,1,
C10,2.2u,CRF1:SMD-0603_c,1,GRM188R61C225KAAD or GRM188C81A225KAAD
C11,2.2u,CRF1:SMD-0603_c,1,GRM188R61C225KAAD or GRM188C81A225KAAD
C14,2.2u,CRF1:SMD-0603_c,1,GRM188R61C225KAAD or GRM188C81A225KAAD
C12,2.2u,CRF1:SMD-0603_c,1,GRM188R61C225KAAD or GRM188C81A225KAAD
C13,2.2u,CRF1:SMD-0603_c,1,GRM188R61C225KAAD or GRM188C81A225KAAD
X2,8MHz 10ppm,CRF1:Crystal_5x3mm,1,ABM3B-8.0-10-1UT
JP2,JUMPER,open-project:S_JUMPER_2,1,
JP1,JUMPER,open-project:S_JUMPER_2,1,
P2,SWD,Pin_Headers:Pin_Header_Straight_1x05,1,
L3,L,CRF1:SMD-0603_r,1,
C28,220n,CRF1:SMD-0603_c,1,
D4,Schottky,Diodes_SMD:SMA_Standard,1,
R23,39k,CRF1:SMD-0603_r,1,
R24,2k2,CRF1:SMD-0603_r,1,
R27,2k2,CRF1:SMD-0603_r,1,
R26,39k,CRF1:SMD-0603_r,1,
R32,39k,CRF1:SMD-0603_r,1,
R33,2k2,CRF1:SMD-0603_r,1,
C29,220n,CRF1:SMD-0603_c,1,
C30,220n,CRF1:SMD-0603_c,1,
C27,100n,CRF1:SMD-0603_c,1,
L1,33u,pikim:inductor_smd_6x6mm,1,
C22,22n,CRF1:SMD-0603_c,1,
C18,"4.7u,25V",CRF1:SMD-0603_c,1,GRM188R61E475KE15
C20,"2.2u,16V",CRF1:SMD-0603_c,1,GRM188R61C225KAAD
C23,"2.2u,16V",CRF1:SMD-0603_c,1,GRM188R61C225KAAD
R20,10k,CRF1:SMD-0603_r,1,
R21,301k,CRF1:SMD-0603_r,1,
R17,52k5,CRF1:SMD-0603_r,1,
R18,10k,CRF1:SMD-0603_r,1,
R19,100k,CRF1:SMD-0603_r,1,
C21,2n,CRF1:SMD-0603_c,1,
C19,1p5,CRF1:SMD-0603_c,1,
C24,2.2u,CRF1:SMD-0603_c,1,GRM188R61C225KAAD or GRM188C81A225KAAD
R48,120R,CRF1:SMD-0603_r,1,
R49,120R,CRF1:SMD-0603_r,1,
R50,120R,CRF1:SMD-0603_r,1,
R51,120R,CRF1:SMD-0603_r,1,
C34,2n,CRF1:SMD-0603_c,1,
C36,2n,CRF1:SMD-0603_c,1,
C39,"10u,63V",w_smd_cap:c_1210,1,GRM32ER71J106KA12
C43,"10u,63V",w_smd_cap:c_1210,1,GRM32ER71J106KA12
C44,"10u,63V",w_smd_cap:c_1210,1,GRM32ER71J106KA12
C49,"10u,63V",w_smd_cap:c_1210,1,GRM32ER71J106KA12
C1,"10u,63V",w_smd_cap:c_1210,1,GRM32ER71J106KA12
C37,"22u,63V",w_smd_cap:c_2220,1,KRM55WR71J226MH01
U2,TC2117,CRF1:SOT-223,1,
C40,"10u,63V",w_smd_cap:c_1210,1,GRM32ER71J106KA12
C9,"10u,63V",w_smd_cap:c_1210,1,GRM32ER71J106KA12
C8,"10u,63V",w_smd_cap:c_1210,1,GRM32ER71J106KA12
JP3,JUMPER3,open-project:S_JUMPER_3,1,
R25,1M,CRF1:SMD-0603_r,1,
R14,0R,CRF1:SMD-0603_r,1,
U3,DRV8301/2,pikim:TSSOP-56-PP,1,
C25,100n,CRF1:SMD-0603_c,1,
L2,L,CRF1:SMD-0603_r,1,
C46,"47u,10V",w_smd_cap:c_1210,1,GRM32ER61A476KE20
C33,2.2u,CRF1:SMD-0603_c,1,GRM188R61C225KAAD or GRM188C81A225KAAD
C50,100n,CRF1:SMD-0603_c,1,
C48,100n,CRF1:SMD-0603_c,1,
C47,100n,CRF1:SMD-0603_c,1,
C45,6n8 opt,CRF1:SMD-0603_c,1,
D5,TVS 5V,Diodes_SMD:SMA_Standard,1,
